Word	Definition	page_content
AA	Auto-attack:les attaques de base d'un personnage.	AA : Auto-attack:les attaques de base d'un personnage.
ACE	All Champions Eliminated:L'équipe entière éliminée au même moment.	ACE : All Champions Eliminated:L'équipe entière éliminée au même moment.
AD	Attack Damage:Dégâts physique / d'attaque (à l'inverse de dégâts magiques)	AD : Attack Damage:Dégâts physique / d'attaque (à l'inverse de dégâts magiques)
AD carry / ADC	Désigne à la fois les tireurs en général ( ex. Tristana Jinx...) et le rôle du joueur de la voie du bas (où sont généralement joués les tireurs. L'ADC est un personnage généralement très faible en début de partie et très puissantà la fin mais très fragile. Son objectif est d'infliger un maximum de dégâts physiques.	AD carry / ADC : Désigne à la fois les tireurs en général ( ex. Tristana Jinx...) et le rôle du joueur de la voie du bas (où sont généralement joués les tireurs. L'ADC est un personnage généralement très faible en début de partie et très puissantà la fin mais très fragile. Son objectif est d'infliger un maximum de dégâts physiques.
AFK	Away From Keyboard:Personne ne jouant plus, comme si elle était partie faire autre chose.	AFK : Away From Keyboard:Personne ne jouant plus, comme si elle était partie faire autre chose.
Agro	Agressif / agresser / agressé:avoir l'agro = se faire agresser (par exempel avoir l'agro de la tourelle ou d'un monstre). Jouer agro = jouer agressif.	Agro : Agressif / agresser / agressé:avoir l'agro = se faire agresser (par exempel avoir l'agro de la tourelle ou d'un monstre). Jouer agro = jouer agressif.
AOE	Area Of Effect:Zone d'effet (d'un sort par exemple). On parle par exemple de sorts en AOE pour parler de sorts de zone.	AOE : Area Of Effect:Zone d'effet (d'un sort par exemple). On parle par exemple de sorts en AOE pour parler de sorts de zone.
All-in	Jouer très agressif en ne se laissant pas de porte de sortie. Tout tenter.	All-in : Jouer très agressif en ne se laissant pas de porte de sortie. Tout tenter.
Animation Cancel	Interrompre une animation d’attaque ou de sort pour enchaîner plus rapidement (ex:Riven).	Animation Cancel : Interrompre une animation d’attaque ou de sort pour enchaîner plus rapidement (ex:Riven).
AP	Ability Power. Dégâts magiques (à l'inverse des dégâts physiques).	AP : Ability Power. Dégâts magiques (à l'inverse des dégâts physiques).
AP carry	Personnage faisant beaucoup de dégâts magiques (un mage généralement.	AP carry : Personnage faisant beaucoup de dégâts magiques (un mage généralement.
ARAM	"All Random All Mid:Mode de jeu sur la carte ""abîme hurlant"" contenant une seule voie où chacun a un personnage aléatoire."	"ARAM : All Random All Mid:Mode de jeu sur la carte ""abîme hurlant"" contenant une seule voie où chacun a un personnage aléatoire."
Armor	Armure:statistiques offrant de la résistance aux dégâts physiques.	Armor : Armure:statistiques offrant de la résistance aux dégâts physiques.
AS	Attack Speed:fréquence à laquelle un personnage lance des attaques de base. Acheter de l'AS permet d'augmenter cette fréquence.	AS : Attack Speed:fréquence à laquelle un personnage lance des attaques de base. Acheter de l'AS permet d'augmenter cette fréquence.
Assist	Assister un personnage dans une élimination. Cela vous octroi de l'or et de l'expérience.	Assist : Assister un personnage dans une élimination. Cela vous octroi de l'or et de l'expérience.
Auto Reset	Attaque de base qui peut être réinitialisée plus rapidement avec certains sorts ou objets (ex:le Z de Jax)	Auto Reset : Attaque de base qui peut être réinitialisée plus rapidement avec certains sorts ou objets (ex:le Z de Jax)
Back	Utiliser son rappel. Le rappel permet de se téléporter à la base pour récupérer son points de vie et achter des objets.	Back : Utiliser son rappel. Le rappel permet de se téléporter à la base pour récupérer son points de vie et achter des objets.
Backdoor 	Backdoor:Chercher à terminer la partie pas surprise quand les adversaires ne s'y attendent pas.	Backdoor  : Backdoor:Chercher à terminer la partie pas surprise quand les adversaires ne s'y attendent pas.
Back Timing	Moment optimal pour faire un rappel (recall), souvent après avoir push une vague.	Back Timing : Moment optimal pour faire un rappel (recall), souvent après avoir push une vague.
Bait 	Bait:Appâter. Jouer l'appât pour que les adversaires vous attaquent et ainsi leur tendre un piège.	Bait  : Bait:Appâter. Jouer l'appât pour que les adversaires vous attaquent et ainsi leur tendre un piège.
Ban	Bannir. Un bannissement se dit d'un champion (vous bannissez un champion en draft et ranked au début de la partie) et d'un compte (en se comportant mal, un joueur peut être banni du jeu).	Ban : Bannir. Un bannissement se dit d'un champion (vous bannissez un champion en draft et ranked au début de la partie) et d'un compte (en se comportant mal, un joueur peut être banni du jeu).
Baron	Baron ou Nashor ou Baron Nashor:Monstre épique apparaissant à 25 minutes et conférant de très grands bonus à l'équipe qui l'élimine.	Baron : Baron ou Nashor ou Baron Nashor:Monstre épique apparaissant à 25 minutes et conférant de très grands bonus à l'équipe qui l'élimine.
BG	Bad Game. Mauvaise partie.	BG : Bad Game. Mauvaise partie.
Blue buff	"Désigne le golem dans la jungle, ""cimier d'éveil"". Son élimination procure une grande régénération en mana."	"Blue buff : Désigne le golem dans la jungle, ""cimier d'éveil"". Son élimination procure une grande régénération en mana."
Boosted	Joueur qui a été monté de manière artificielle (souvent par quelqu’un d’autre).	Boosted : Joueur qui a été monté de manière artificielle (souvent par quelqu’un d’autre).
Bot	Désigne la botlane (voie du bas) ou un personnage contrôlé par l'IA.	Bot : Désigne la botlane (voie du bas) ou un personnage contrôlé par l'IA.
Botlane 	Botlane:Voie du bas.	Botlane  : Botlane:Voie du bas.
BRB	Be Right Back. Signifie:je reviens vite. Cela est généralement utilisé pour dire qu'un utilise son back.	BRB : Be Right Back. Signifie:je reviens vite. Cela est généralement utilisé pour dire qu'un utilise son back.
Bruiser	Combattant. Les bruisers sont des personnages à mi-chemin entre un tank et un assassin. Ils profitent à la fois de grand dégâts et d'un forme de résistance. Généralement, leur faiblesse vient de leur manque de mobilité (ex. Garen).	Bruiser : Combattant. Les bruisers sont des personnages à mi-chemin entre un tank et un assassin. Ils profitent à la fois de grand dégâts et d'un forme de résistance. Généralement, leur faiblesse vient de leur manque de mobilité (ex. Garen).
BTW	By the way. Au passage.	BTW : By the way. Au passage.
Buff	Effet augmentant des statistiques.	Buff : Effet augmentant des statistiques.
Build	Construction. Les objets (et parfois les runes) qu'utilise un champion. On peut par exemple dire qu'on build de l'AD pour dire qu'on achète un objet conférant des dégâts physiques.	Build : Construction. Les objets (et parfois les runes) qu'utilise un champion. On peut par exemple dire qu'on build de l'AD pour dire qu'on achète un objet conférant des dégâts physiques.
Burst 	Burst:Le fait d'infliger de très lourds dégâts en très peu de temps.	Burst  : Burst:Le fait d'infliger de très lourds dégâts en très peu de temps.
Bush / brush	Buisson. Lorsque vous êtes dans un buisson, vous êtes invisibles tant qu'un adversaire ne rentre pas dedans ou que vous ne lancez pas un sort.	Bush / brush : Buisson. Lorsque vous êtes dans un buisson, vous êtes invisibles tant qu'un adversaire ne rentre pas dedans ou que vous ne lancez pas un sort.
Care	Fait de faire attention.	Care : Fait de faire attention.
Carry	Porter. Se dit d'un joueur ou personnage qui porte la partie à lui tout seul sur ses épaules:l'équipe gagne grâce à lui.	Carry : Porter. Se dit d'un joueur ou personnage qui porte la partie à lui tout seul sur ses épaules:l'équipe gagne grâce à lui.
CC	Crowd Control. Les contrôles de foules sont des sorts restreignants les déplacements des adversaires (étourdissements, ralentissements, neutralisations etc.)	CC : Crowd Control. Les contrôles de foules sont des sorts restreignants les déplacements des adversaires (étourdissements, ralentissements, neutralisations etc.)
CD	Cooldown. Temps de récupération durant lequel vous ne pouvez plus faire une action (ex. lancer un sort).	CD : Cooldown. Temps de récupération durant lequel vous ne pouvez plus faire une action (ex. lancer un sort).
CDR	Cooldown Reduction. Réduction des délais de récupération, permettant d'effectuer une action plus rapidement en réduisant le délai durant lequel vous ne pouvez plus la faire.	CDR : Cooldown Reduction. Réduction des délais de récupération, permettant d'effectuer une action plus rapidement en réduisant le délai durant lequel vous ne pouvez plus la faire.
Champion pool	Ensemble des champion qu'un joueur est capable de jouer convenablement.	Champion pool : Ensemble des champion qu'un joueur est capable de jouer convenablement.
Chase	Poursuivre. Courir après un adversaire afin de l'éliminer.	Chase : Poursuivre. Courir après un adversaire afin de l'éliminer.
Cheater Recall	Retour à la base très tôt (généralement après avoir hard push une wave) pour prendre un petit avantage en lane sans perdre de sbires.	Cheater Recall : Retour à la base très tôt (généralement après avoir hard push une wave) pour prendre un petit avantage en lane sans perdre de sbires.
Cheese	Stratégie atypique et inattendue utilisée pour surprendre l'adversaire. Généralement assez risqué.	Cheese : Stratégie atypique et inattendue utilisée pour surprendre l'adversaire. Généralement assez risqué.
Cleanse	"Sort d’invocateur ""Purge"", qui permet de retirer la plupart des effets négatifs (contrôles, ralentissements…)."	"Cleanse : Sort d’invocateur ""Purge"", qui permet de retirer la plupart des effets négatifs (contrôles, ralentissements…)."
Coinflip	Décision ou situation très risquée, avec un résultat imprévisible (50/50).	Coinflip : Décision ou situation très risquée, avec un résultat imprévisible (50/50).
Core item	Objet central dans le build d’un champion. C’est un objet indispensable pour qu’il soit vraiment efficace.	Core item : Objet central dans le build d’un champion. C’est un objet indispensable pour qu’il soit vraiment efficace.
Cover	Protéger un coéquipier, souvent en début de partie, pour éviter qu’il se fasse surprendre. Exemple:rester près de son jungler pendant qu’il fait ses premiers monstres.	Cover : Protéger un coéquipier, souvent en début de partie, pour éviter qu’il se fasse surprendre. Exemple:rester près de son jungler pendant qu’il fait ses premiers monstres.
Counter gank	Aller volontairement à l’endroit où le jungler ennemi va intervenir, pour le surprendre à votre tour.	Counter gank : Aller volontairement à l’endroit où le jungler ennemi va intervenir, pour le surprendre à votre tour.
Counter jungle	Entrer dans la jungle ennemie pour y voler des monstres et ralentir l’adversaire.	Counter jungle : Entrer dans la jungle ennemie pour y voler des monstres et ralentir l’adversaire.
Counter pick	Choisir un champion qui a un avantage direct sur un autre, afin de prendre l’ascendant sur la phase de lane.	Counter pick : Choisir un champion qui a un avantage direct sur un autre, afin de prendre l’ascendant sur la phase de lane.
Creep	"Nom anglais pour ""sbire"". Ce sont les petites unités contrôlées par le jeu qui apparaissent sur les lignes."	"Creep : Nom anglais pour ""sbire"". Ce sont les petites unités contrôlées par le jeu qui apparaissent sur les lignes."
Crit	Coup critique. Un coup qui inflige plus de dégâts que la normale.	Crit : Coup critique. Un coup qui inflige plus de dégâts que la normale.
CS	"Abréviation de ""Creep Score"", soit le nombre de sbires que vous avez éliminés. On parle aussi de ""prendre un CS"" pour dire ""récupérer un sbire""."	"CS : Abréviation de ""Creep Score"", soit le nombre de sbires que vous avez éliminés. On parle aussi de ""prendre un CS"" pour dire ""récupérer un sbire""."
Dash	Saut rapide, sur une courte distance. Permet de se repositionner ou de traverser un mur. Exemple:le E de Lucian.	Dash : Saut rapide, sur une courte distance. Permet de se repositionner ou de traverser un mur. Exemple:le E de Lucian.
DC	"""Disconnected"", c’est-à-dire qu’un joueur a été déconnecté du jeu."	"DC : ""Disconnected"", c’est-à-dire qu’un joueur a été déconnecté du jeu."
Debuff	Effet négatif qui affaiblit votre champion (réduction d’armure, de vitesse, etc.).	Debuff : Effet négatif qui affaiblit votre champion (réduction d’armure, de vitesse, etc.).
Depop	Se dit quand un joueur ou une équipe meurt très rapidement, presque instantanément.	Depop : Se dit quand un joueur ou une équipe meurt très rapidement, presque instantanément.
Deny	Empêcher l’adversaire d’obtenir quelque chose. Par exemple, se mettre entre lui et ses sbires pour l’empêcher de les tuer.	Deny : Empêcher l’adversaire d’obtenir quelque chose. Par exemple, se mettre entre lui et ses sbires pour l’empêcher de les tuer.
Desync	Décalage dans le tempo d’une équipe (un joueur recall, un autre engage…). Peut coûter un objectif ou un fight.	Desync : Décalage dans le tempo d’une équipe (un joueur recall, un autre engage…). Peut coûter un objectif ou un fight.
Diff (ex: Jungle diff)	Diff (ex:Jungle diff):Forme abrégée de “la différence vient de ce rôle” (souvent utilisé pour râler et expliquer à cause de qui on a perdu).	Diff (ex: Jungle diff) : Diff (ex:Jungle diff):Forme abrégée de “la différence vient de ce rôle” (souvent utilisé pour râler et expliquer à cause de qui on a perdu).
Dive	Attaquer un ennemi sous sa tour, même si cela vous met en danger.	Dive : Attaquer un ennemi sous sa tour, même si cela vous met en danger.
Dodge	Esquiver un sort ennemi par un bon mouvement.	Dodge : Esquiver un sort ennemi par un bon mouvement.
DoT (Damage over Time)	Dégâts sur la durée. Par exemple, un sort qui brûle votre adversaire pendant quelques secondes.	DoT (Damage over Time) : Dégâts sur la durée. Par exemple, un sort qui brûle votre adversaire pendant quelques secondes.
DPS (Damage per Second)	Dégâts par seconde. Désigne les champions qui infligent des dégâts en continu (ex.:Jinx, Cassiopeia…).	DPS (Damage per Second) : Dégâts par seconde. Désigne les champions qui infligent des dégâts en continu (ex.:Jinx, Cassiopeia…).
Drake / Dragon	Monstre neutre offrant des bonus très puissants à l’équipe qui le tue. Il existe plusieurs types de dragons, chacun avec un effet différent (dégâts, régénération, vitesse, etc.).	Drake / Dragon : Monstre neutre offrant des bonus très puissants à l’équipe qui le tue. Il existe plusieurs types de dragons, chacun avec un effet différent (dégâts, régénération, vitesse, etc.).
Duo-Q	Jouer une partie classée avec un ami, ce qui permet souvent une meilleure communication.	Duo-Q : Jouer une partie classée avec un ami, ce qui permet souvent une meilleure communication.
Dynamic-Q	Idem que Duo-Q, mais avec plusieurs amis.	Dynamic-Q : Idem que Duo-Q, mais avec plusieurs amis.
Early Game	Début de partie. Période où tout le monde est encore assez faible et se concentre sur le farming et les premiers échanges.	Early Game : Début de partie. Période où tout le monde est encore assez faible et se concentre sur le farming et les premiers échanges.
Elo	Système de classement caché qui détermine votre niveau et vous fait jouer avec des gens de niveau similaire.	Elo : Système de classement caché qui détermine votre niveau et vous fait jouer avec des gens de niveau similaire.
Elo Hell	Expression utilisée (souvent à tort) pour dire qu’on est bloqué à un certain niveau à cause de ses coéquipiers.	Elo Hell : Expression utilisée (souvent à tort) pour dire qu’on est bloqué à un certain niveau à cause de ses coéquipiers.
Engage	Initier un combat. Cela peut se faire par un sort, un flash, ou une agression directe.	Engage : Initier un combat. Cela peut se faire par un sort, un flash, ou une agression directe.
Exhaust	"Sort d’invocateur ""Fatigue"", qui réduit les dégâts et la vitesse de l’ennemi."	"Exhaust : Sort d’invocateur ""Fatigue"", qui réduit les dégâts et la vitesse de l’ennemi."
F	"Abréviation pour ""Flash"". On peut par exemple dire ""no F mid"" pour signaler que le midlaner n’a plus de flash."	"F : Abréviation pour ""Flash"". On peut par exemple dire ""no F mid"" pour signaler que le midlaner n’a plus de flash."
Facecheck	Entrer dans un buisson sans vision. Risque élevé de tomber dans un piège.	Facecheck : Entrer dans un buisson sans vision. Risque élevé de tomber dans un piège.
Fail	"Rater une action. On peut aussi dire ""faire une Domingo"" pour rigoler quand on se loupe (par exemple, flasher dans un mur)."	"Fail : Rater une action. On peut aussi dire ""faire une Domingo"" pour rigoler quand on se loupe (par exemple, flasher dans un mur)."
Farm	Récupérer de l’or en tuant des sbires ou des monstres.	Farm : Récupérer de l’or en tuant des sbires ou des monstres.
FB (First Blood)	Premier kill de la partie.	FB (First Blood) : Premier kill de la partie.
Feed	Mourir plusieurs fois face au même ennemi et lui donner beaucoup d’avantage.	Feed : Mourir plusieurs fois face au même ennemi et lui donner beaucoup d’avantage.
Feeder	"Joueur qui ""feed"", c’est-à-dire qui meurt trop souvent et donne trop d’or à l’adversaire."	"Feeder : Joueur qui ""feed"", c’est-à-dire qui meurt trop souvent et donne trop d’or à l’adversaire."
FF (Forfeit)	"Demander l’abandon. Souvent utilisé sous la forme ""FF @ 20"" ou ""FF15) pour dire ""abandon à la 20e ou 15e minute""."	"FF (Forfeit) : Demander l’abandon. Souvent utilisé sous la forme ""FF @ 20"" ou ""FF15) pour dire ""abandon à la 20e ou 15e minute""."
Flame	Critiquer ou insulter un joueur. À éviter absolument.	Flame : Critiquer ou insulter un joueur. À éviter absolument.
Flamer	Joueur qui insulte ou râle régulièrement.	Flamer : Joueur qui insulte ou râle régulièrement.
Flank	Attaquer l’ennemi par les côtés, souvent pour surprendre ses carrys.	Flank : Attaquer l’ennemi par les côtés, souvent pour surprendre ses carrys.
Flank TP	Téléportation utilisée dans le dos de l’adversaire pour initier un flank.	Flank TP : Téléportation utilisée dans le dos de l’adversaire pour initier un flank.
Flash	Sort d’invocateur très utilisé permettant de se téléporter sur une courte distance.	Flash : Sort d’invocateur très utilisé permettant de se téléporter sur une courte distance.
Flash in / out	Utiliser son Flash de manière agressive pour initier (in) ou défensive pour fuir (out).	Flash in / out : Utiliser son Flash de manière agressive pour initier (in) ou défensive pour fuir (out).
Focus	"Se concentrer sur une cible. Exemple:""focus le carry"", c’est-à-dire se coordonner pour éliminer le carry adverse."	"Focus : Se concentrer sur une cible. Exemple:""focus le carry"", c’est-à-dire se coordonner pour éliminer le carry adverse."
Free Farm	Pouvoir farmer tranquillement, sans être dérangé par un adversaire.	Free Farm : Pouvoir farmer tranquillement, sans être dérangé par un adversaire.
Freeze	Bloquer la vague de sbires pour qu’elle reste à un endroit précis, généralement près de sa tour.	Freeze : Bloquer la vague de sbires pour qu’elle reste à un endroit précis, généralement près de sa tour.
FTW (For The Win)	Pour gagner. Se dit quand une action est décisive pour remporter la partie.	FTW (For The Win) : Pour gagner. Se dit quand une action est décisive pour remporter la partie.
Gank	Intervention surprise d’un ou plusieurs alliés sur une lane pour créer un surnombre et tenter un kill. Généralement réalisé par le jungler.	Gank : Intervention surprise d’un ou plusieurs alliés sur une lane pour créer un surnombre et tenter un kill. Généralement réalisé par le jungler.
Gap Closer	Sort qui permet de se rapprocher rapidement d’un ennemi. Exemple:le A de Vi ou le E de Xin Zhao.	Gap Closer : Sort qui permet de se rapprocher rapidement d’un ennemi. Exemple:le A de Vi ou le E de Xin Zhao.
GG (Good Game)	Belle partie. Utilisé en fin de match pour saluer les joueurs.	GG (Good Game) : Belle partie. Utilisé en fin de match pour saluer les joueurs.
Ghost	"Sort d’invocateur ""Fantôme"", qui augmente fortement la vitesse de déplacement pendant quelques secondes."	"Ghost : Sort d’invocateur ""Fantôme"", qui augmente fortement la vitesse de déplacement pendant quelques secondes."
GJ (Good Job)	Bien joué. Félicitation à un joueur pour une belle action.	GJ (Good Job) : Bien joué. Félicitation à un joueur pour une belle action.
GL (Good Luck)	Bonne chance. Utilisé avant le début de la partie.	GL (Good Luck) : Bonne chance. Utilisé avant le début de la partie.
Global	Sort qui peut toucher ou affecter toute la carte. Exemple:l’ultime de Shen ou Gangplank.	Global : Sort qui peut toucher ou affecter toute la carte. Exemple:l’ultime de Shen ou Gangplank.
Greed	"Comportement trop avide, vouloir ""trop"" (ex:chase un kill inutile) et en subir les conséquences."	"Greed : Comportement trop avide, vouloir ""trop"" (ex:chase un kill inutile) et en subir les conséquences."
Harass	Harceler. Infliger des petits dégâts répétés à l’adversaire pour l’empêcher de jouer sereinement.	Harass : Harceler. Infliger des petits dégâts répétés à l’adversaire pour l’empêcher de jouer sereinement.
Heal	"Sort d’invocateur ""Soin"", qui rend de la vie à vous et à un allié proche."	"Heal : Sort d’invocateur ""Soin"", qui rend de la vie à vous et à un allié proche."
HF (Have Fun)	"Amuse-toi bien. Souvent utilisé avec GL:""GL HF""."	"HF (Have Fun) : Amuse-toi bien. Souvent utilisé avec GL:""GL HF""."
HP (Health Points)	Points de vie. Quand ils tombent à zéro, vous êtes mort.	HP (Health Points) : Points de vie. Quand ils tombent à zéro, vous êtes mort.
Hyper Carry	Champion très faible early mais monstrueux en late s’il est bien protégé (ex:Vayne, Jinx…).	Hyper Carry : Champion très faible early mais monstrueux en late s’il est bien protégé (ex:Vayne, Jinx…).
IA (Intelligence Artificielle)	Désigne un bot, un personnage contrôlé par l’ordinateur.	IA (Intelligence Artificielle) : Désigne un bot, un personnage contrôlé par l’ordinateur.
Ignite	"Sort d’invocateur ""Embrasement"", qui inflige des dégâts sur le temps et réduit les soins reçus par la cible."	"Ignite : Sort d’invocateur ""Embrasement"", qui inflige des dégâts sur le temps et réduit les soins reçus par la cible."
INC (Incoming)	"""J’arrive"" ou ""attention, quelque chose arrive"", souvent utilisé dans le chat ou en ping."	"INC (Incoming) : ""J’arrive"" ou ""attention, quelque chose arrive"", souvent utilisé dans le chat ou en ping."
Income	Vos revenus en or, que ce soit par le farm, les assists ou les kills.	Income : Vos revenus en or, que ce soit par le farm, les assists ou les kills.
Inhib (Inhibiteur)	Structure située dans la base ennemie. Quand elle est détruite, des super-sbires apparaissent dans la ligne correspondante.	Inhib (Inhibiteur) : Structure située dans la base ennemie. Quand elle est détruite, des super-sbires apparaissent dans la ligne correspondante.
Invade	Pénétrer dans la jungle ennemie, souvent en début de partie, pour voler des monstres ou prendre un kill par surprise.	Invade : Pénétrer dans la jungle ennemie, souvent en début de partie, pour voler des monstres ou prendre un kill par surprise.
Insec	Combo spectaculaire souvent réalisé avec Lee Sin:il s’agit de passer derrière un ennemi et de le repousser dans votre équipe à l’aide d’un kick (R), souvent avec une ward jump ou un flash.	Insec : Combo spectaculaire souvent réalisé avec Lee Sin:il s’agit de passer derrière un ennemi et de le repousser dans votre équipe à l’aide d’un kick (R), souvent avec une ward jump ou un flash.
Int (Intentional Feed)	Mourir volontairement, ou de façon si absurde qu’on peut se poser la question.	Int (Intentional Feed) : Mourir volontairement, ou de façon si absurde qu’on peut se poser la question.
Item	"Objet que vous achetez avec votre or pour améliorer votre champion. L’ensemble de vos objets est souvent appelé votre ""stuff""."	"Item : Objet que vous achetez avec votre or pour améliorer votre champion. L’ensemble de vos objets est souvent appelé votre ""stuff""."
Interrupt	Interrompre un sort canalisé (téléportation, ultime, etc.) avec un contrôle ou une attaque.	Interrupt : Interrompre un sort canalisé (téléportation, ultime, etc.) avec un contrôle ou une attaque.
Interruption	Tuer un ennemi en série pour mettre fin à ses kills et obtenir un bonus d’or.	Interruption : Tuer un ennemi en série pour mettre fin à ses kills et obtenir un bonus d’or.
Jungle	Partie de la carte entre les lignes, remplie de monstres neutres.	Jungle : Partie de la carte entre les lignes, remplie de monstres neutres.
Jungler	Joueur chargé de tuer les monstres de la jungle, d’obtenir les buffs et de ganker les lanes.	Jungler : Joueur chargé de tuer les monstres de la jungle, d’obtenir les buffs et de ganker les lanes.
